OBJECTID_12_13_14,GRID_ID,TC_ID,OBJECTID,TC_ID_1,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,OBJECTID_1,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,TC_Land_A_1,Gain,Loss,No_Change,TreeCanopy_2016_Area,TreeCanopy_2021_Area,Change_Area,Change_PercentChange,TreeCanopy_2016_Percent,TreeCanopy_2021_Percent,Change_Percent_AbsDiff,TC_E_A_1,TC_Pv_A_1,TC_Pi_A_1,TC_P_A_1,TC_E_P_1,TC_Pv_P_1,TC_P_P_1,TC_Pi_P_1,TC_ID_12,OBJECTID_12,TC_ID_12_13,OBJECTID_12_13,TC_ID_12_13_14,TC_Land_A_12,Shape__Area,Shape__Length
22,S-47,22,22,,2178132,747753,665799,5926,0,327225,277751,153678,1419478,758654,34.3300130570599,30.5674311749701,0.272067992206166,0,15.0231941865782,12.7517983299451,7.05549525924049,65.1695122242362,34.8304877757638,,747753,665799,2178132,159604,825403,34.3300130570599,30.5674311749701,37.8949944264168,7.32756325144665,,72038,116336,675715,792051,747753,-44298,-5.59282167436188,36.3637740963358,34.3300130570599,-2.0337610392759,,,,,,,,,,,,,,,2178001.43556213,5493.56652482679
24,Y-33,24,24,,2178135,156438,81188,0,0,668924,569849,701736,237626,1940509,7.18219945044729,3.72740899898307,0,0,30.7108604379435,26.1622443053346,32.2172868072916,10.9096084494304,89.0903915505696,,156438,81188,2178135,701736,782924,7.18219945044729,3.72740899898307,35.9446958062746,32.2172868072916,,26294,22243,130144,152387,156438,4051,2.65836324620867,6.99621465152527,7.18219945044729,0.18598479892202,,,,,,,,,,,,,,,2178002.40637207,5493.56774923497
25,S-12,25,25,,2178133,547662,691802,0,0,533021,269056,136592,1239464,938669,25.1436436617966,31.7612377205616,0,0,24.4714624864506,12.3525973850082,6.27105874618309,56.9048813823582,43.0951186176418,,547662,691802,2178133,136592,828394,25.1436436617966,31.7612377205616,38.0322964667447,6.27105874618309,,79959,57410,467703,525113,547662,22549,4.29412336011487,24.1083992575293,25.1436436617966,1.0352444042673,,,,,,,,,,,,,,,2178001.88616943,5493.56709308261
27,AD-30,27,27,,2177217,695877,645263,0,0,522864,251055,62158,1341140,836077,31.961765868997,29.6370550110531,0,0,24.015245150116,11.5310049480598,2.85492902177413,61.5988208800501,38.4011791199499,,695877,645263,2177217,62158,707421,31.961765868997,29.6370550110531,32.4919840328272,2.85492902177413,,83192,92979,612685,705664,695877,-9787,-1.38692068746599,32.4112846813156,31.961765868997,-0.449518812318601,,,,,,,,,,,,,,,2178001.43551636,5493.56652480273
29,N-26,29,29,,2178133,0,30345,0,2119117,0,0,28671,2149462,28671,0,1.39316561477192,0,97.2905235814342,0,0,1.31631080379389,98.6836891962061,1.31631080379389,,0,30345,59016,28671,59016,0,51.418259455063,100,48.581740544937,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2178002.40646362,5493.56774924075
30,T-2,30,30,,1919187,735565,489904,0,0,346576,188556,158586,1225469,693718,38.3269061326489,25.5266422709199,0,0,18.058479970946,9.82478518247571,8.26318644300946,63.8535484035688,36.1464515964312,,735565,489904,1919187,158586,648490,38.3269061326489,25.5266422709199,33.7898287139294,8.26318644300946,,64680,65992,670885,736877,735565,-1312,-0.178048710978901,38.3952684131354,38.3269061326489,-0.0683622804864967,,,,,,,,,,,,,,,1919630.60873413,5211.45335378386
33,AC-39,33,33,,2178134,691192,1280650,1789,0,88276,68320,47907,1973631,204503,31.7332175155431,58.7957398396976,0.082134524322195,0,4.05282686923761,3.13662979412653,2.19945145707289,90.611091879563,9.38890812043704,,691192,1280650,2178134,49696,1330346,31.7332175155431,58.7957398396976,61.0773258210927,2.28158598139508,,60177,72016,631015,703031,691192,-11839,-1.68399402017834,32.2767561591711,31.7332175155431,-0.543538643628001,,,,,,,,,,,,,,,2178001.95587158,5493.56718099817
34,AK-52,34,34,,2178134,488661,800979,22800,0,405322,299687,160685,1312440,865694,22.4348456063768,36.7736328435257,1.04676755424597,0,18.6086806413196,13.7588871942681,7.37718616026379,60.2552460041485,39.7447539958515,,488661,800979,2178134,183485,984464,22.4348456063768,36.7736328435257,45.1975865580355,8.42395371450976,,68446,74385,420215,494600,488661,-5939,-1.20076829761423,22.7075101899149,22.4348456063768,-0.272664583538099,,,,,,,,,,,,,,,2178002.14627075,5493.56742117423
35,AD-44,35,35,,2177218,552928,1032331,1196,0,306183,131585,152995,1586455,590763,25.3960788492471,47.4151417083636,0.0549324872383014,0,14.0630382442181,6.04372185054505,7.02708686038789,72.866153044849,27.133846955151,,552928,1032331,2177218,154191,1186522,25.3960788492471,47.4151417083636,54.4971610559898,7.08201934762619,,50655,88963,502273,591236,552928,-38308,-6.47930775527877,27.1555719271106,25.3960788492471,-1.7594930778635,,,,,,,,,,,,,,,2178001.43554688,5493.56652481591
38,AJ-53,38,38,,2178133,538002,858108,10359,0,281897,201271,288496,1406469,771664,24.7001445733571,39.396492317044,0.475590792665094,0,12.9421389786574,9.24052847094278,13.2451048673336,64.5722276830662,35.4277723169338,,538002,858108,2178133,298855,1156963,24.7001445733571,39.396492317044,53.1171879770427,13.7206956599987,,54512,119192,483490,602682,538002,-64680,-10.732027835575,27.6696602089955,24.7001445733571,-2.9695156356384,,,,,,,,,,,,,,,2178001.69570923,5493.56685292818
