OBJECTID,GB_KEY,GSI_KEY,PROJECT NAME,DEPARTMENT,PURPOSE,FUNDER,INSTALL YEAR,SEWER CLASSIFICATION CODE,CSO BASIN KEY,CSO BASIN NAME,CREEK WATERSHED KEY,CREEK WATERSHED NAME,SOURCE TYPE,SOURCE ID,BEST MANAGED PRACTICE,NUMBER OF BMPS,INFILTRATION SQ FT,IMPERVIOUS MANAGED SQ FT,AVG ANNUAL RUNOFF VOL MANAGED CB FT,AVG ANNUAL RUNOFF VOL MANAGED GLN,GlobalID,x,y
394037,3790,1587,RAINWISE,SPU,RW,SPU,2019,C,,Ballard,,,PIN,7518506595,CST,,,542,512,3831,35c4aad3-8271-4746-8244-5f27906c2309,1258317.2710133,252076.644918174
394038,3791,1588,RAINWISE,SPU,RW,SPU,2019,P,,Genesee,,,PIN,5249803075,CST,,,703,664,4969,77e7c415-3bb7-4610-83a0-f19ea761e53d,1284997.09984063,207441.120008469
394039,3792,1589,RAINWISE,SPU,RW,SPU,2019,P,,Windermere,,,PIN,5364200090,CST,,,560,529,3958,870d59c7-7d70-41ea-a4f3-d35a069ee582,1284286.57798389,244817.29687874
394040,3793,1590,RAINWISE,SPU,RW,SPU,2019,P,,Henderson,,,PIN,7135300245,RGN,,,1360,2799,20936,59ab0d08-2793-4bbd-b53a-67b41f96ddc1,1285004.34982462,196241.439996988
394041,3794,1591,RAINWISE,SPU,RW,SPU,2019,P,,North Union Bay,,,PIN,6338000411,CST,,,486,459,3435,ddacb435-d709-44dd-9632-c0b05a57c558,1284069.81990367,247936.444849923
394042,3795,1592,RAINWISE,SPU,RW,SPU,2019,P,,Fremont,,,PIN,9521100540,RGN,,,892,1836,13731,14d764ca-f53b-42f5-930a-dcecb90031fe,1266404.84702158,245382.659951314
394043,3796,1593,RAINWISE,SPU,RW,SPU,2019,C,,Ballard,,,PIN,8082400151,CST,,,704,665,4976,cbb3072b-f28c-4917-a82b-fa105dcec522,1254863.27696176,252921.078903034
394044,3797,1594,RAINWISE,SPU,RW,SPU,2019,C,,Ballard,,,PIN,0546000945,CST,,,572,541,4043,e36fa9c6-9768-468b-af64-b0a96d977742,1259030.78794204,254762.503096923
394045,3798,1595,RAINWISE,SPU,RW,SPU,2019,P,,North Union Bay,,,PIN,0446000075,CST,,,1576,1489,11140,e317e63a-d208-4423-af63-eb1a744e21fb,1283142.30105472,253892.932984024
394046,3799,1596,RAINWISE,SPU,RW,SPU,2019,P,,North Union Bay,,,PIN,7974200929,CRG,,,1521,3462,25895,0bc08447-9b39-4633-b3a3-a3ac23cc7622,1281704.69407725,249966.80894801
394047,3800,1597,RAINWISE,SPU,RW,SPU,2019,C,,Ballard,,,PIN,7518501985,CST,,,1064,1005,7521,0b802868-2441-4f99-aa5c-fe14f9f4ae87,1259523.69315854,250469.294132531
394048,3801,1598,RAINWISE,SPU,RW,SPU,2019,P,,Windermere,,,PIN,3179100325,CST,,,1423,1344,10057,c6b92c44-9025-4b80-a32a-3adff60db535,1285862.73792151,248100.393010095
394049,3802,1600,RAINWISE,SPU,RW,SPU,2019,P,,Genesee,,,PIN,5583200546,CST,,,1508,1425,10659,7beea205-9d9c-4906-969d-597849f269cd,1285213.98003285,206380.330119371
394050,3803,1601,RAINWISE,SPU,RW,SPU,2019,P,,Henderson,,,PIN,8113101350,CST,,,1239,1171,8758,5c10459e-b898-4800-ae51-a57e6b04d207,1284475.65209609,202865.679683775
394051,3804,1602,RAINWISE,SPU,RW,SPU,2019,P,,Windermere,,,PIN,5606000270,CST,,,758,716,5354,1aab40b7-d6af-4c70-aff9-ee0c3502d85e,1286133.88300979,246061.258992016
