X,Y,OBJECTID,school_ID,school_name,mapLabel,status,grades,esmshs,siteID,address,zip,Latitude,Longitude
-122.396358683488,47.6776990912225,77,955,Licton Springs K-8,Licton Springs K-8,Option ELEM,K-8,ES,278,3015 NW 68th St.,98117,47.6777049034163,-122.396373315051
-122.275332169001,47.6806871055908,78,277,View Ridge,View Ridge,ELEM,K-5,ES,277,7047 50th Ave. NE,98115,47.6806929305005,-122.275346781118
-122.294982661747,47.682520105628,79,104,Eckstein,Eckstein,MS,6-8,MS,134,3003 NE 75th St.,98115,47.6825259285998,-122.294997277554
-122.373075379303,47.6835898231266,80,282,Whittier,Whittier,ELEM,K-5,ES,282,1320 NW 75th St.,98117,47.6835956380551,-122.373090008341
-122.284633891821,47.6852897194814,81,977,Thornton Creek,Thornton Creek,Option ELEM,K-5,ES,977,7712 40th Ave NE,98115,47.6852955436771,-122.284648506534
-122.342304871586,47.6863570662322,82,204,Daniel Bagley,Bagley,ELEM,K-5,ES,204,7821 Stone Ave. N,98103,47.6863628845035,-122.34231949614
-122.389050477093,47.6864354498187,83,246,Loyal Heights,Loyal Heights,ELEM,K-5,ES,246,7735 25th Ave NW,98117,47.6864412632432,-122.389065109431
-122.359960300451,47.6872538940964,84,230,Greenwood,Greenwood,ELEM,K-5,ES,230,144 NW 80th St.,98117,47.6872597105843,-122.359974928144
-122.297053816619,47.6905380455419,85,279,Wedgwood,Wedgwood,ELEM,K-5,ES,279,2720 NE 85th St.,98115,47.6905438687348,-122.297068434595
-122.387035500263,47.6949745107196,86,259,North Beach,North Beach,ELEM,K-5,ES,259,9018 24th Ave. NW,98117,47.6949803248149,-122.387050134211
-122.377601923086,47.6967514514167,87,115,Whitman,Whitman,MS,6-8,MS,115,9201 15th Ave. NW,98117,47.6967572665874,-122.377616555873
-122.32125787015,47.6982317210299,88,262,Olympic View,Olympic View,ELEM,K-5,ES,262,504 NE 95th St.,98115,47.6982375421292,-122.321272493906
-122.307472722843,47.6984485433365,89,268,Sacajawea,Sacajawea,ELEM,K-5,ES,268,9501 20th Ave. NE,98115,47.6984543658781,-122.307487344354
-122.361129445192,47.705972815071,90,276,Viewlands,Viewlands,ELEM,K-5,ES,276,10525 3rd Ave. NW,98177,47.7059786324505,-122.361144077343
-122.294530733278,47.7076286083189,91,22,Nathan Hale,Nathan Hale,HS,9-12,HS,22,10750 30th Ave. NE,98125,47.7076344327022,-122.294545354725
-122.329585046241,47.7148671636599,92,257,James Baldwin,James Baldwin,ELEM,K-5,ES,257,11725 1st Ave. NE,98125,47.7148729847965,-122.329599675174
-122.306755454102,47.7236861632849,93,261,Olympic Hills,Olympic Hills,ELEM,K-5,ES,261,13018 20th Ave. NE,98125,47.7236919872702,-122.306770081246
-122.353148668766,47.7246311080134,94,208,Broadview-Thomson K-8,Broadview-Thomson K-8,ELEM,K-8,ES,208,13052 Greenwood Ave. N,98133,47.7246369272307,-122.353163303845
-122.336838126079,47.7256993928154,95,20,Ingraham,Ingraham Int'l,HS,9-12,HS,20,1819 N 135th St.,98133,47.7257052137851,-122.336852758689
-122.262933222157,47.6736515483429,96,269,Sand Point,Sand Point,ELEM,K-5,ES,269,6208 60th Ave. NE,98115,47.6736573741545,-122.262947830608
-122.362140942014,47.5486195343168,97,972,Louisa Boren K-8,Boren STEM K-8,Option ELEM,K-8,ES,119,5950 Delridge Way SW,98106,47.5486253430403,-122.362155538671
-122.341136010211,47.6948684636248,98,113,Robert Eagle Staff,Robert Eagle Staff,MS,6-8,MS,136,1330 N 90th St.,98103,47.6948742824787,-122.341150636508
-122.305244675907,47.6216031544989,99,109,Meany Middle School,Meany,MS,6-8,MS,139,301 21st Ave. E,98112,47.621608973089,-122.305259279598
-122.337288955129,47.6949443113727,100,971,Cascadia,Cascadia,HC,K-5,ES,780,1700 N 90th St.,98103,47.69495013063,-122.337303580803
-122.287530617907,47.7258139983102,101,210,Cedar Park,Cedar Park,Option ELEM,K-5,ES,210,13224 37th Ave. NE,98125,47.7258198244075,-122.287545242333
-122.353265218351,47.632022747314,102,365,Interagency at Queen Anne,Queen Anne Gym,NonStandard,9-12,,784,1431 2nd Ave N,98109,47.6320285614994,-122.353279832386
-122.282623693754,47.6857132373755,103,287,Decatur,Decatur,HC,1-5,ES,287,7711 43rd Ave NE,98115,47.6857190618027,-122.282638308229
