OBJECTID,GEOID20,Gross Acres,Land Acres,Water Acres,Tract Name,Tract,Tract Label,Urban Village Demographic Area,Community Reporting Area ID,Community Reporting Area Group,Community Reporting Area Name,Community Reporting Area Neighborhoods,Council District (2024)
355,53033004500,165.796166200404,165.806969746656,0,Census Tract 45,4500,45,Green Lake - Roosevelt,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",6
356,53033005305,52.6223013622159,52.6252918061274,0,Census Tract 53.05,5305,53.05,University District,7.2,7,University District,"University District, Cowen Park, Ravenna",4
357,53033005402,114.626306060578,114.632186530601,0,Census Tract 54.02,5402,54.02,Fremont - Wallingford,11.1,11,Fremont,"Fremont, Wallingford, Northlake",4
358,53033005700,1223.72285002147,1256.68901294996,584.603394454009,Census Tract 57,5700,57,Outside - West,12.1,12,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",6
359,53033005804,576.766542743519,576.853428370458,289.035952503598,Census Tract 58.04,5804,58.04,Interbay,12.2,12,Interbay,Interbay,7
360,53033006701,83.5871600138208,93.9633039909036,26.0550385427314,Census Tract 67.01,6701,67.01,Center City,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7
361,53033006703,147.546973716753,147.554777839141,0,Census Tract 67.03,6703,67.03,Center City,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7
362,53033007202,69.3311199016411,69.3340635000834,0,Census Tract 72.02,7202,72.02,Center City,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",7
363,53033007203,143.222681078804,143.229939450137,0,Census Tract 72.03,7203,72.03,Center City,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",7
364,53033007404,37.9837743171282,37.9862747885679,0,Census Tract 74.04,7404,74.04,First Hill - Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3
365,53033007405,32.5750313540513,32.5759024581356,0,Census Tract 74.05,7405,74.05,First Hill - Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3
366,53033007503,46.3408240075442,46.3423903732171,0,Census Tract 75.03,7503,75.03,First Hill - Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3
367,53033008101,68.6904153426562,66.7985151793451,68.613998418061,Census Tract 81.01,8101,81.01,Center City,13.2,13,Downtown Commercial Core,"Downtown Commercial Core, West Edge, Central Business District, Pike Place Market, Pioneer Square",7
368,53033010401,402.739918628262,402.750636752267,0,Census Tract 104.01,10401,104.01,Othello,3.5,3,Beacon Hill,Beacon Hill,2
369,53033011401,304.713407939636,304.719236863857,0,Census Tract 114.01,11401,114.01,Westwood-Highland Park,2.4,2,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center",1
370,53033011700,868.762098261958,868.775077520541,0,Census Tract 117,11700,117,Rainier Beach,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park",2
371,53033011901,415.718564219353,415.723669286987,0,Census Tract 119.01,11901,119.01,Outside - Southeast,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2
